pH,TDS,EC,TH,ca,mg,CO3,HCO3,NA,K,CHLORIDE,SULPHATE,NITRATE,FLUORIDE,Pre monsoon EWQI 
7.9,552,865,452,272,180,0.2,4.5,260,44,375,681,60,0.4,70.52
7.52,1985,2256,1054,529,525,0,15,272,47,728,324,10,0.65,138.78
7.65,1865,2032,636,371,265,0,9,373,25,713,503,54,0.85,113.07
7.25,4855,7856,2050,795,1255,0,12.5,335,106,81,676,17,0.69,266.32
7.96,2855,3696,865,310,555,0.3,4.6,184,106,698,324,25,1.2,158.05
8.05,9655,16545,3250,550,2700,0,8.5,334,92,421,56,42,1.4,322.76
7.65,3565,3256,1055,397,658,0,9.6,332,35,368,109,25,0.63,119.02
7.52,4252,4585,360,236,124,0.96,18.5,441,69,125,284,24,0.45,102.23
7.96,4658,15650,1054,96,958,0.6,16.5,239,102,202,359,18,0.75,217.69
7.65,3965,5265,865,403,462,0.45,10.5,456,34,160,380,24,0.63,118.59
7.96,1245,2565,550,225,325,0,6.5,426,119,446,408,29,0.35,129.83
7.85,1052,2236,250,65,185,0,9.6,224,62,696,365,24,0.85,76.17
7.56,1245,2856,245,76,169,0,8.9,333,56,295,363,65,0.45,72.97
8.05,1645,2245,525,129,396,1.6,8.4,293,28,456,404,39,0.74,82.5
8.3,2045,3050,950,485,465,0.3,6.5,112,108,528,167,58,0.76,160.24
7.63,1758,2659,656,271,385,0.5,15.5,80,76,545,561,27,0.85,114.86
7.58,3645,5024,695,230,465,0,4.6,234,82,311,577,28,0.46,135.92
7.98,2856,2856,410,198,212,0,3.2,434,50,788,524,36,0.95,108.17
8.02,1254,10544,320,200,120,0,4.6,359,100,462,509,60,0.78,140.95
7.96,1865,2050,350,149,201,0,10.1,95,55,816,267,21,0.65,74.95
7.85,1545,2456,396,211,185,0.3,4.5,278,32,247,715,49,1.5,80.98
7.86,658,986,365,220,145,0,6.5,346,119,803,325,50,1.6,136.46
7.75,1254,2215,525,317,208,0,6.6,319,100,513,93,44,0.96,106.16
7.98,4595,8054,2856,651,2205,0,8.2,150,95,629,63,43,0.78,255.83
7.36,1245,1456,705,53,652,0,8.6,166,34,243,151,58,0.85,83.29
7.85,5250,7526,1850,595,1255,1.2,12.6,304,32,211,799,29,0.95,205.68
7.2,1745,2045,450,205,245,0,7.6,105,68,479,686,63,0.75,101.34
7.03,1958,2865,685,360,325,0,6.2,354,73,371,688,36,0.96,122.5
7.08,2250,3056,1058,538,520,0,7.5,277,39,137,686,36,1.2,125.82
7.89,3655,4058,656,241,415,0,8.3,154,54,568,864,13,1.3,131
8.63,1250,1056,250,125,125,0,5.6,289,74,171,86,56,1.4,61.68
8.6,4255,6032,1585,560,1025,0,9.4,372,75,237,355,62,1.45,203.43
8.02,250,1045,285,149,136,0,4.2,454,66,671,159,53,1.6,81.63
7.95,1256,1285,523,154,369,0,8.2,263,93,97,132,46,1.4,93.15
7.63,2965,2574,752,226,526,0,5.8,59,40,672,478,11,0.95,108.78
7.45,3258,5047,595,193,402,0,10,408,48,324,397,26,0.75,111.4
7.96,2265,2985,855,390,465,0,12,441,116,383,256,34,0.95,203.45
7.31,955,2065,325,140,185,0,9.3,102,98,683,483,14,0.23,93.56
7.54,2285,4058,120,50,70,0.96,18.2,388,79,607,206,21,0.25,80.32
7.92,3252,5650,102,77,25,1.63,12.5,140,92,163,403,35,0.63,85.05
7.69,1232,2054,145,91,54,1.2,12,46,108,818,559,25,0.74,94.88
7.85,1653,2523,637,463,174,0,5.6,83,45,548,710,38,0.45,93.57
7.65,4268,6069,1285,626,659,0,9.3,150,39,471,168,54,0.75,205.93
7.96,2565,4055,285,177,108,0,8.2,255,56,355,751,14,0.63,89.53
7.85,1245,2232,654,414,240,0,12.2,153,46,45,579,13,0.75,74.48
8.03,220,565,125,70,55,0,2.5,94,46,194,759,61,0.47,118.11
7.6,2365,4485,1050,294,756,0,12,409,58,687,550,53,0.63,171.02
